season,week,contestant_id,celebrity_name,ballroom_partner,predicted_elim_prob
1,1,0,John O'Hurley,Charlotte Jorgensen,0.0
1,1,1,Kelly Monaco,Alec Mazo,0.0
1,1,2,Evander Holyfield,Edyta Sliwinska,0.0
1,1,3,Rachel Hunter,Jonathan Roberts,0.0
1,1,4,Joey McIntyre,Ashly DelGrosso,0.0
1,1,5,Trista Sutter,Louis van Amstel,0.0
1,2,0,John O'Hurley,Charlotte Jorgensen,0.0
1,2,1,Kelly Monaco,Alec Mazo,0.0014
1,2,2,Evander Holyfield,Edyta Sliwinska,0.9986
1,2,3,Rachel Hunter,Jonathan Roberts,0.0
1,2,4,Joey McIntyre,Ashly DelGrosso,0.0
1,2,5,Trista Sutter,Louis van Amstel,0.0193
1,3,0,John O'Hurley,Charlotte Jorgensen,0.0
1,3,1,Kelly Monaco,Alec Mazo,0.0
1,3,2,Evander Holyfield,Edyta Sliwinska,1.0
1,3,3,Rachel Hunter,Jonathan Roberts,0.0
1,3,4,Joey McIntyre,Ashly DelGrosso,0.0
1,4,0,John O'Hurley,Charlotte Jorgensen,0.1603
1,4,1,Kelly Monaco,Alec Mazo,0.0
1,4,3,Rachel Hunter,Jonathan Roberts,0.0
1,4,4,Joey McIntyre,Ashly DelGrosso,0.8397
1,5,0,John O'Hurley,Charlotte Jorgensen,0.0
1,5,1,Kelly Monaco,Alec Mazo,0.0
1,5,4,Joey McIntyre,Ashly DelGrosso,0.0
1,6,0,John O'Hurley,Charlotte Jorgensen,0.0
1,6,1,Kelly Monaco,Alec Mazo,0.0
2,1,0,Tatum O'Neal,Nick Kosovich,0.0
2,1,1,Tia Carrere,Maksim Chmerkoskiy,0.0
2,1,2,George Hamilton,Edyta Sliwinska,0.0
2,1,3,Lisa Rinna,Louis van Amstel,0.0
2,1,4,Stacy Keibler,Tony Dovolani,0.0
2,1,5,Jerry Rice,Anna Trebunskaya,0.0
2,1,6,Giselle Fernandez,Jonathan Roberts,0.0
2,1,7,Master P,Ashly DelGrosso,0.8403
2,1,8,Drew Lachey,Cheryl Burke,0.0
2,1,9,Kenny Mayne,Andrea Hale,1.0
